Review_Text,Review_ID,Product_Name,Star_Rating,Date,Verified_Purchase,Cleaned_Text,ML_Sentiment,ML_Confidence,Polarity,Subjectivity,Sentiment,Sentiment_Confidence,Is_Relevant,Review_Category,Relevance_Weight,Product_Topics,Service_Topics,Tone,Detected_Aspects,Aspect_Sentiments,Aspect_Polarities,Is_Anomalous,Anomaly_Reason,Anomaly_Weight,Effective_Weight,Weighted_Score,Product_Health_Score,Final_Recommendation
The item is fine for basic use,11,Sample Product,3,2026-08-10,True,item fine basic use,Neutral,0.5156,0.20833333333333334,0.3125,Positive,0.5802083333333333,True,OTHER,1.0,,,Satisfied,,{},{},False,,1.0,1.0,60.42,70.71,BUY
The quality is decent for the price,12,Sample Product,3,2026-08-10,True,quality decent price,Neutral,0.5051,0.16666666666666666,0.6666666666666666,Positive,0.6166666666666667,True,PRODUCT,1.0,quality,,Satisfied,"Build Quality, Price","{""Build Quality"": ""Positive"", ""Price"": ""Positive""}","{""Build Quality"": 0.1667, ""Price"": 0.1667}",False,,1.0,1.0,58.33,70.71,BUY
The product arrived today and I have just started using it,13,Sample Product,3,2026-08-10,True,product arrived today started using,Neutral,0.5196,0.0,0.0,Neutral,0.45,True,PRODUCT,1.0,product,,Neutral,,{},{},False,,1.0,1.0,50.0,70.71,BUY
The features are normal and the performance is acceptable,14,Sample Product,3,2026-08-10,True,feature normal performance acceptable,Neutral,0.523,0.15,0.6499999999999999,Positive,0.6075,True,PRODUCT,1.0,"feature, performance",,Satisfied,"Performance, Features","{""Performance"": ""Positive"", ""Features"": ""Positive""}","{""Performance"": 0.15, ""Features"": 0.15}",False,,1.0,1.0,57.5,70.71,BUY
It does the job but nothing special,15,Sample Product,3,2026-08-10,True,job nothing special,Neutral,0.523,0.35714285714285715,0.5714285714285714,Positive,0.6785714285714286,True,OTHER,1.0,,,Satisfied,,{},{},False,,1.0,1.0,67.86,70.71,BUY
The product is usable but I need more time to judge it,16,Sample Product,3,2026-08-10,True,product usable need time judge,Neutral,0.5196,0.5,0.5,Positive,0.725,True,PRODUCT,1.0,product,,Satisfied,,{},{},False,,1.0,1.0,75.0,70.71,BUY
The phone stopped working after two days,17,Sample Product,1,2026-08-10,True,phone stopped working two day,Negative,0.5147,0.0,0.0,Neutral,0.45,True,PRODUCT,1.0,"phone, working",,Neutral,,{},{},False,,1.0,1.0,50.0,70.71,BUY
Very poor quality and totally disappointing,18,Sample Product,1,2026-08-10,True,poor quality totally disappointing,Negative,0.5231,-0.56,0.74,Negative,0.785,True,PRODUCT,1.0,quality,,Disappointed,"Build Quality, Software","{""Build Quality"": ""Negative"", ""Software"": ""Negative""}","{""Build Quality"": -0.56, ""Software"": -0.56}",False,,1.0,1.0,22.0,70.71,BUY
The battery drains too fast and the device heats up,19,Sample Product,1,2026-08-10,True,battery drain fast device heat,Negative,0.5153,0.2,0.6,Positive,0.62,True,PRODUCT,1.0,"battery, device",,Satisfied,"Battery, Performance","{""Battery"": ""Positive"", ""Performance"": ""Positive""}","{""Battery"": 0.2, ""Performance"": 0.2}",False,,1.0,1.0,60.0,70.71,BUY
I received a damaged product and customer support was bad,20,Sample Product,1,2026-08-10,True,received damaged product customer support bad,Negative,0.5443,-0.6999999999999998,0.6666666666666666,Negative,0.83,True,PRODUCT | CUSTOMER_SERVICE,1.0,product,support,Disappointed,Customer Service,"{""Customer Service"": ""Negative""}","{""Customer Service"": -0.7}",False,,1.0,1.0,15.0,70.71,BUY
Worst purchase ever I want a refund,21,Sample Product,1,2026-08-10,True,worst purchase ever want refund,Negative,0.5099,-1.0,1.0,Negative,1.0,False,CUSTOMER_SERVICE,0.1,,refund,Angry,Customer Service,"{""Customer Service"": ""Negative""}","{""Customer Service"": -1.0}",False,,1.0,0.1,0.0,70.71,BUY
The sound quality is terrible and the build feels cheap,22,Sample Product,1,2026-08-10,True,sound quality terrible build feel cheap,Negative,0.5215,-0.06666666666666665,0.6999999999999998,Neutral,0.5816666666666667,True,PRODUCT,1.0,"build, quality, sound",,Disappointed,"Build Quality, Audio, Price","{""Build Quality"": ""Neutral"", ""Audio"": ""Neutral"", ""Price"": ""Neutral""}","{""Build Quality"": -0.0667, ""Audio"": -0.0667, ""Price"": -0.0667}",False,,1.0,1.0,46.67,70.71,BUY
The product is slow expensive and not reliable,23,Sample Product,1,2026-08-10,True,product slow expensive reliable,Negative,0.5091,-0.4,0.5499999999999999,Negative,0.6925000000000001,True,PRODUCT,1.0,product,,Disappointed,"Performance, Price","{""Performance"": ""Negative"", ""Price"": ""Negative""}","{""Performance"": -0.4, ""Price"": -0.4}",False,,1.0,1.0,30.0,70.71,BUY
I am unhappy because the item broke within a week,24,Sample Product,1,2026-08-10,True,unhappy item broke within week,Negative,0.5173,-0.6,0.9,Negative,0.825,True,OTHER,1.0,,,Happy,"Durability, Software","{""Durability"": ""Negative"", ""Software"": ""Negative""}","{""Durability"": -0.6, ""Software"": -0.6}",False,,1.0,1.0,20.0,70.71,BUY
best product,25,Sample Product,5,2026-08-10,True,best product,Positive,0.5083,1.0,0.3,Positive,0.8950000000000001,True,PRODUCT,1.0,product,,Satisfied,,{},{},True,very short,0.55,0.55,55.0,70.71,BUY
loved it,26,Sample Product,5,2026-08-10,True,loved,Positive,0.4984,0.7,0.8,Positive,0.85,True,OTHER,1.0,,,Happy,,{},{},True,very short,0.55,0.55,46.75,70.71,BUY
very nice,27,Sample Product,5,2026-08-10,True,nice,Positive,0.5593,0.78,1.0,Positive,0.912,True,OTHER,1.0,,,Satisfied,,{},{},True,very short,0.55,0.55,48.95,70.71,BUY
average,28,Sample Product,3,2026-08-10,True,average,Neutral,0.5731,-0.15,0.39999999999999997,Negative,0.57,True,OTHER,1.0,,,Disappointed,,{},{},True,very short,0.55,0.55,23.38,70.71,BUY
great purchase,29,Sample Product,5,2026-08-10,True,great purchase,Positive,0.4958,0.8,0.75,Positive,0.8825000000000001,True,OTHER,1.0,,,Happy,,{},{},True,very short,0.55,0.55,49.5,70.71,BUY
nice product,30,Sample Product,5,2026-08-10,True,nice product,Positive,0.547,0.6,1.0,Positive,0.84,True,PRODUCT,1.0,product,,Satisfied,,{},{},True,very short,0.55,0.55,44.0,70.71,BUY
terrific purchase,31,Sample Product,5,2026-08-10,True,terrific purchase,Positive,0.5143,0.0,1.0,Neutral,0.6,True,OTHER,1.0,,,Neutral,,{},{},True,very short,0.55,0.55,27.5,70.71,BUY
bad,32,Sample Product,1,2026-08-10,True,bad,Negative,0.5341,-0.6999999999999998,0.6666666666666666,Negative,0.83,True,OTHER,1.0,,,Disappointed,,{},{},True,very short,0.55,0.55,8.25,70.71,BUY
